日期,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差
2025-04-23,3296.36,220,47,173,118,32,86,73,24,49
2025-04-24,3297.29,273,131,142,168,94,74,105,77,28
2025-04-25,3295.06,292,122,170,147,79,68,88,63,25
2025-04-28,3288.41,259,302,-43,125,222,-97,76,176,-100
2025-04-29,3286.65,364,208,156,137,147,-10,88,123,-35
2025-04-30,3279.03,470,174,296,121,122,-1,75,99,-24
2025-05-06,3316.11,1177,45,1132,230,35,195,137,30,107
2025-05-07,3342.67,1797,24,1773,267,22,245,148,20,128
2025-05-08,3352.0,2256,32,2224,276,18,258,144,16,128
2025-05-09,3342.0,660,101,559,215,28,187,107,19,88
2025-05-12,3369.24,1466,71,1395,253,15,238,141,9,132
2025-05-13,3374.87,815,88,727,215,21,194,135,16,119
2025-05-14,3403.95,752,97,655,199,24,175,118,18,100
2025-05-15,3380.82,460,228,232,189,35,154,115,17,98
2025-05-16,3367.46,674,185,489,234,39,195,154,26,128
2025-05-19,3367.58,1079,110,969,364,23,341,199,11,188
2025-05-20,3380.48,1490,59,1431,470,17,453,248,7,241
2025-05-21,3387.57,762,166,596,296,32,264,195,11,184
2025-05-22,3380.19,374,405,-31,202,67,135,147,29,118
2025-05-23,3348.37,277,716,-439,133,123,10,94,63,31
2025-05-26,3346.84,366,245,121,160,59,101,112,41,71
2025-05-27,3340.69,519,445,74,259,88,171,167,49,118
2025-05-28,3339.93,495,608,-113,245,99,146,166,50,116
2025-05-29,3363.45,843,54,789,333,5,328,191,1,190
2025-05-30,3347.49,456,642,-186,228,75,153,135,37,98
2025-06-03,3361.98,788,572,216,395,68,327,234,40,194
2025-06-04,3376.2,965,133,832,457,16,441,254,5,249
2025-06-05,3384.1,609,140,469,261,10,251,165,3,162
2025-06-06,3385.36,716,155,561,327,12,315,176,10,166
2025-06-09,3399.77,1178,79,1099,488,10,478,265,4,261
2025-06-10,3384.82,583,403,180,296,41,255,204,23,181
2025-06-11,3402.32,716,108,608,296,6,290,176,5,171
2025-06-12,3402.66,837,321,516,384,47,337,238,22,216
2025-06-13,3377.0,369,1036,-667,192,134,58,138,73,65
2025-06-16,3388.73,538,451,87,269,76,193,176,50,126
2025-06-17,3387.4,523,526,-3,253,75,178,152,35,117
2025-06-18,3388.81,512,796,-284,231,123,108,157,70,87
2025-06-19,3362.11,266,1776,-1510,145,263,-118,91,149,-58
2025-06-20,3359.9,248,1706,-1458,155,245,-90,97,125,-28
2025-06-23,3381.58,468,315,153,251,77,174,154,51,103
2025-06-24,3420.57,876,28,848,394,4,390,203,3,200
2025-06-25,3455.97,1112,44,1068,501,7,494,227,6,221
2025-06-26,3448.45,640,117,523,406,14,392,233,10,223
2025-06-27,3424.23,835,85,750,446,12,434,219,7,212
2025-06-30,3444.43,1418,56,1362,717,13,704,364,9,355
2025-07-01,3457.75,1061,33,1028,610,7,603,368,7,361
2025-07-02,3454.79,807,89,718,479,12,467,282,7,275
2025-07-03,3461.15,927,61,866,638,7,631,322,2,320
2025-07-04,3472.32,424,160,264,307,18,289,207,5,202
2025-07-07,3473.13,879,146,733,553,33,520,340,11,329
2025-07-08,3497.48,1324,56,1268,864,13,851,435,4,431
2025-07-09,3493.05,958,100,858,647,22,625,350,9,341
2025-07-10,3509.68,1288,154,1134,744,28,716,386,7,379
2025-07-11,3510.18,1069,92,977,594,13,581,318,4,314
2025-07-14,3519.65,1376,92,1284,819,21,798,453,5,448
2025-07-15,3505.0,600,285,315,352,49,303,217,18,199
2025-07-16,3503.78,855,113,742,452,18,434,252,8,244
2025-07-17,3516.83,1136,85,1051,632,22,610,355,5,350
2025-07-18,3534.48,970,107,863,610,20,590,337,6,331
2025-07-21,3559.79,1766,61,1705,1126,4,1122,610,2,608
2025-07-22,3581.86,1505,164,1341,1043,9,1034,621,2,619
2025-07-23,3582.3,573,303,270,419,8,411,277,3,274
2025-07-24,3605.73,1402,97,1305,955,3,952,535,2,533
2025-07-25,3593.66,1121,128,993,780,12,768,411,4,407
2025-07-28,3597.94,1101,135,966,820,27,793,505,6,499
2025-07-29,3609.71,1012,251,761,774,45,729,497,9,488
2025-07-30,3615.72,625,337,288,449,45,404,314,10,304
2025-07-31,3573.21,380,795,-415,303,103,200,216,14,202
2025-08-01,3559.95,537,407,130,415,73,342,269,15,254
2025-08-04,3583.31,911,176,735,690,24,666,434,5,429
2025-08-05,3617.6,1079,38,1041,774,6,768,476,4,472
2025-08-06,3633.99,1326,75,1251,950,11,939,538,6,532
2025-08-07,3639.67,866,126,740,619,11,608,384,4,380
