日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,个股热度排名昨日,竞价涨幅今日,开盘价:不复权今日,收盘价:不复权今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,市场20日高低差
20260203,002995.SZ,天地在线,801760,传媒,0.0159900168148985,3.0,65626190.0,2974640.0,0.045327025688981795,0.03757860526099473,15,2.703,36.1,36.99,0.4,4.576,49683532.0,57221517.0,188
20260209,600519.SH,贵州茅台,801120,食品饮料,0.0003855981170055,30.0,125707098.0,4992702.0,0.03971694581637705,0.010507660150562183,98,0.197,1518.0,1524.96,-2.572,2.303,7896538.0,9162274.0,610
20260209,000592.SZ,平潭发展,801010,农林牧渔,0.0022434964292441,28.0,86914569.0,1085983.0,0.012494832713258925,0.01394984733643183,9,-0.258,11.59,11.47,-3.167,9.537,536188830.0,234941963.0,610
20260209,601138.SH,工业富联,801080,电子,0.0207499890735856,5.0,147806000.0,1770300.0,0.011977186311787073,0.01972115318299115,39,3.309,56.2,55.52,2.642,3.08,137772202.0,144385646.0,610
20260210,002361.SZ,神剑股份,801030,基础化工,0.0005025053774203,14.0,54949314.0,-48308.4,-0.0008791447332718294,0.012406167524154554,10,-0.201,14.91,14.78,-3.737,8.085,296464830.0,307029820.0,403
20260211,300058.SZ,蓝色光标,801760,传媒,0.0009608907556366,3.0,133789627.0,939813.5,0.007024561777124919,0.009862104673518647,6,-1.631,19.3,18.92,-2.047,1.117,691438858.0,664046348.0,237
20260212,603881.SH,数据港,801770,通信,0.0065609389811374,2.0,85344999.0,-69328.24,-0.0008123292613782796,0.015864838423049584,24,4.738,43.99,43.53,2.364,6.861,128083368.0,155663273.0,4
20260224,600111.SH,北方稀土,801050,有色金属,0.0341663182719063,1.0,78114400.0,3298400.0,0.04222524912180085,0.011741385408681432,95,2.302,56.0,54.94,-3.965,1.936,121536816.0,149215934.0,346
20260225,600410.SH,华胜天成,801750,计算机,0.0015933167604249,16.0,77437052.0,1738324.0,0.022448220265409897,0.008862355070929091,3,0.755,24.01,24.79,-8.346,11.813,366668931.0,228716916.0,615
20260225,300017.SZ,网宿科技,801750,计算机,0.0015933167604249,16.0,77374244.0,-685391.0,-0.008858128552441818,0.007655797168546595,25,2.723,21.88,20.35,-5.417,0.044,474489249.0,497606751.0,615
20260312,002969.SZ,嘉美包装,801140,轻工制造,0.0020523005627275,5.0,77360400.0,-3920800.0,-0.050682261208576995,0.019630038760279262,23,3.052,26.0,24.06,-6.556,5.755,156199855.0,48351995.0,3
20260325,002310.SZ,东方新能,801720,建筑装饰,0.0057565679635638,10.0,51978896.0,315744.0,0.006074465298378019,0.014134831695031578,4,-2.902,3.68,3.8,-1.302,6.094,970284012.0,852027459.0,157
20260325,002594.SZ,比亚迪,801880,汽车,0.0064917475031218,6.0,74899191.0,146313.12,0.0019534672944598293,0.007622315830725967,29,0.075,106.72,106.6,-1.624,3.62,92144617.0,178244551.0,157
20260401,002309.SZ,中利集团,801730,电力设备,0.013991428022402,17.0,92319084.0,14647074.0,0.15865705513282605,0.018548994278941154,3,-4.049,4.74,4.53,2.917,11.737,1007493570.0,875101285.0,182
20260401,002149.SZ,西部材料,801050,有色金属,0.0249474835107976,4.0,86612712.0,821243.05,0.009481784267417928,0.015617258970548211,9,0.019,51.55,50.06,-1.829,9.928,107604557.0,107303409.0,182
