日期,股票代码,股票简称,开盘价:不复权今日,收盘价:不复权今日,开盘价:不复权明日,收盘价:不复权明日,涨跌幅:前复权今日,涨跌幅:前复权昨日,开盘收益率,收益率,量比,个股热度排名昨日,连续涨停天数昨日,竞价涨幅今日,实体涨跌幅今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,换手率昨日,个股热度昨日,个股热度前日,大单动向(ddx值)昨日,最低价:不复权今日,开盘后最大跌幅
20240528,300040.SZ,九洲集团,6.8,8.07,7.4,7.46,17.46724891,3.46385542,0.0882352941176471,0.0970588235294118,2.0281724113334287,13,0,-1.019,18.871,-5.817,15.466,166648301.0,82166733.0,36.17503,7850074.0,6529076.5,-3749.587,6.8,0.0
20240528,002897.SZ,意华股份,45.9,46.08,46.5,45.5,-2.51745293,0.33963065,0.0130718954248366,-0.008714597,1.327207027070132,21,0,-2.898,0.393,-4.707,4.746,34518295.0,26008222.0,21.146324,6314916.5,5229009.5,-811.3,45.01,-0.019389978
20240528,000737.SZ,北方铜业,12.26,12.01,11.83,12.18,0.50209205,0.58922559,-0.035073409,-0.006525285,0.7395134244238368,29,0,2.594,-2.056,3.223,3.972,101850518.0,137726395.0,14.023665,5369445.0,8218558.5,798.828,12.0,-0.021207178
20240528,600505.SH,西昌电力,11.98,13.34,12.62,12.44,9.97526793,-3.26953748,0.053422370617696,0.038397328881469,0.9973815592324816,41,0,-1.237,11.364,-5.828,7.279,70983482.0,71169836.0,19.4706,4746897.5,7104614.0,-1419.67,11.88,-0.008347245
20240528,002371.SZ,北方华创,306.8,304.98,303.6,298.7,0.32236842,5.92334495,-0.010430248,-0.026401565,2.370695230889388,96,0,0.921,-0.595,5.951,-1.636,7770570.0,3277760.0,1.464919,2691692.5,678750.5,257.337,303.52,-0.010691004
20240529,000737.SZ,北方铜业,11.83,12.18,11.83,11.11,1.41548709,0.50209205,0.0,-0.060862215,1.2342902173555956,22,0,-1.499,2.984,-2.056,3.223,125713098.0,101850518.0,17.309273,7259855.0,5369445.0,-4038.057,11.56,-0.022823331
20240529,000628.SZ,高新发展,49.0,51.32,50.21,46.43,3.46774194,-1.70432025,0.0246938775510204,-0.05244898,0.8356768695900203,34,0,-1.21,4.749,-2.369,-4.806,32157461.0,38480736.0,16.742221,5818369.0,7189445.5,-451.514,48.8,-0.004081633
20240529,002130.SZ,沃尔核材,13.92,13.15,13.12,13.16,-2.80857354,-2.6297086,-0.057471264,-0.054597701,0.8011884288664524,61,0,2.883,-5.532,-0.515,2.356,78918649.0,98501983.0,6.317792,3606641.0,4972235.0,-824.523,12.99,-0.066810345
20240529,000863.SZ,三湘印象,3.59,3.77,3.65,3.78,2.16802168,1.65289256,0.0167130919220055,0.0529247910863509,1.9851028730651543,62,0,-2.71,5.014,-4.404,10.334,131661156.0,66324601.0,11.314834,3590706.5,1764663.5,-3134.789,3.58,-0.002785515
20240529,002459.SZ,晶澳科技,15.56,16.1,15.4,15.73,8.78378378,0.0,-0.010282776,0.0109254498714652,0.7352050303477773,66,0,5.135,3.601,0.993,-0.07,83270551.0,113261672.0,2.518708,3487730.0,4466531.5,-951.663,15.56,0.0
20240529,601138.SH,工业富联,24.75,24.21,24.0,23.94,0.37313433,-2.97666935,-0.03030303,-0.032727273,0.6723090943476169,75,0,2.612,-2.234,-2.202,1.082,98564656.0,146606162.0,0.496923,3277386.5,5460323.0,-3121.214,24.1,-0.026262626
20240529,300093.SZ,金刚光伏,16.7,18.41,18.41,17.24,3.83530739,3.74488005,0.1023952095808383,0.0323353293413173,0.9736341513497736,80,0,-5.809,10.24,4.233,-4.897,44456813.0,45660696.0,20.645924,3176416.0,3212404.0,1481.894,16.7,0.0
